format,k_samples,baseline_acc,threshold_recal_acc,logistic_recal_acc,optimal_threshold,mean_harmful,mean_harmless,gap
dockerfile,5,1.0,0.9333333333333333,0.9666666666666667,-1.960976957070707,4.4193359375,-2.997216796875,7.416552734374999
dockerfile,10,1.0,0.9,1.0,-2.005228061868687,4.4193359375,-2.997216796875,7.416552734374999
dockerfile,15,1.0,1.0,1.0,-0.8010574494949494,4.4193359375,-2.997216796875,7.416552734374999
hcl,5,0.5,0.8666666666666667,0.9,-3.2318004261363638,-2.163671875,-3.387109375,1.2234375000000002
hcl,10,0.5,1.0,0.85,-2.901278409090909,-2.163671875,-3.387109375,1.2234375000000002
hcl,15,0.5,1.0,0.9,-2.901278409090909,-2.163671875,-3.387109375,1.2234375000000002
toml,5,0.5,0.9,0.9,6.858743686868687,9.11328125,6.3880859375,2.7251953125000004
toml,10,0.5,0.95,0.8,6.971472537878788,9.11328125,6.3880859375,2.7251953125000004
toml,15,0.5,0.9,0.9,6.971472537878788,9.11328125,6.3880859375,2.7251953125000004
graphql,5,0.975,0.9333333333333333,0.9333333333333333,-0.9626933396464645,1.3146148681640626,-1.8528076171875,3.1674224853515627
graphql,10,0.975,0.9,0.95,-0.9505208333333333,1.3146148681640626,-1.8528076171875,3.1674224853515627
graphql,15,0.975,0.9,0.9,-0.9088541666666667,1.3146148681640626,-1.8528076171875,3.1674224853515627
sql,5,0.575,0.9666666666666667,1.0,1.5565222537878787,4.58798828125,0.7021759033203125,3.885812377929688
sql,10,0.575,0.9,1.0,1.5281871448863638,4.58798828125,0.7021759033203125,3.885812377929688
sql,15,0.575,1.0,1.0,1.8787681502525255,4.58798828125,0.7021759033203125,3.885812377929688
protobuf,5,0.5,1.0,0.8333333333333334,-4.756786616161616,-4.25185546875,-5.1703125,0.91845703125
protobuf,10,0.5,1.0,1.0,-4.743963068181818,-4.25185546875,-5.1703125,0.91845703125
protobuf,15,0.5,1.0,0.9,-4.743963068181818,-4.25185546875,-5.1703125,0.91845703125
