format,alpha,n_layers_steered,compliance_rate
direct,0,0,0.0
direct,1,1,0.0
direct,1,3,0.0
direct,1,5,0.0
direct,2,1,0.0
direct,2,3,0.0
direct,2,5,0.0
direct,3,1,0.0
direct,3,3,0.0
direct,3,5,100.0
direct,5,1,0.0
direct,5,3,100.0
direct,5,5,60.0
json,0,0,0.0
json,1,1,0.0
json,1,3,0.0
json,1,5,20.0
json,2,1,0.0
json,2,3,0.0
json,2,5,0.0
json,3,1,0.0
json,3,3,20.0
json,3,5,100.0
json,5,1,0.0
json,5,3,100.0
json,5,5,80.0
xml,0,0,0.0
xml,1,1,0.0
xml,1,3,0.0
xml,1,5,0.0
xml,2,1,0.0
xml,2,3,0.0
xml,2,5,0.0
xml,3,1,0.0
xml,3,3,0.0
xml,3,5,100.0
xml,5,1,0.0
xml,5,3,100.0
xml,5,5,40.0
markdown,0,0,0.0
markdown,1,1,0.0
markdown,1,3,0.0
markdown,1,5,0.0
markdown,2,1,0.0
markdown,2,3,0.0
markdown,2,5,0.0
markdown,3,1,0.0
markdown,3,3,0.0
markdown,3,5,100.0
markdown,5,1,0.0
markdown,5,3,100.0
markdown,5,5,60.0
