prompt_idx,prompt_type,transformation,layer,projection
0,harmless,direct,27,-8.140625
0,harmless,direct,26,-3.5546875
0,harmless,direct,25,-0.307861328125
0,harmless,json,27,-3.158203125
0,harmless,json,26,-0.6328125
0,harmless,json,25,3.025390625
0,harmless,xml,27,-7.5390625
0,harmless,xml,26,-3.8671875
0,harmless,xml,25,1.060546875
0,harmless,markdown,27,2.357421875
0,harmless,markdown,26,4.49609375
0,harmless,markdown,25,10.609375
0,harmless,roleplay,27,-3.529296875
0,harmless,roleplay,26,-0.57763671875
0,harmless,roleplay,25,3.796875
0,harmless,hypothetical,27,3.349609375
0,harmless,hypothetical,26,4.85546875
0,harmless,hypothetical,25,9.015625
0,harmless,completion,27,-17.9375
0,harmless,completion,26,-15.1015625
0,harmless,completion,25,-11.3359375
0,harmless,nested,27,-2.83203125
0,harmless,nested,26,0.794921875
0,harmless,nested,25,4.86328125
0,harmless,context_injection,27,-1.47265625
0,harmless,context_injection,26,0.69091796875
0,harmless,context_injection,25,4.890625
0,harmless,whitespace,27,1.0830078125
0,harmless,whitespace,26,4.953125
0,harmless,whitespace,25,8.7578125
0,harmless,list_format,27,-5.4296875
0,harmless,list_format,26,-1.404296875
0,harmless,list_format,25,3.25
0,harmless,translation_frame,27,-3.640625
0,harmless,translation_frame,26,-0.9306640625
0,harmless,translation_frame,25,5.0234375
1,harmless,direct,27,-19.609375
1,harmless,direct,26,-16.171875
1,harmless,direct,25,-12.9609375
1,harmless,json,27,-8.1484375
1,harmless,json,26,-3.7421875
1,harmless,json,25,-1.44921875
1,harmless,xml,27,-10.484375
1,harmless,xml,26,-5.265625
1,harmless,xml,25,-1.646484375
1,harmless,markdown,27,1.9443359375
1,harmless,markdown,26,4.67578125
1,harmless,markdown,25,10.6875
1,harmless,roleplay,27,-20.453125
1,harmless,roleplay,26,-16.6875
1,harmless,roleplay,25,-13.6328125
1,harmless,hypothetical,27,-14.71875
1,harmless,hypothetical,26,-11.59375
1,harmless,hypothetical,25,-8.7265625
1,harmless,completion,27,-17.34375
1,harmless,completion,26,-14.3828125
1,harmless,completion,25,-11.203125
1,harmless,nested,27,-20.328125
1,harmless,nested,26,-16.390625
1,harmless,nested,25,-13.1796875
1,harmless,context_injection,27,-20.09375
1,harmless,context_injection,26,-16.34375
1,harmless,context_injection,25,-13.625
1,harmless,whitespace,27,-11.7578125
1,harmless,whitespace,26,-9.1171875
1,harmless,whitespace,25,-6.3359375
1,harmless,list_format,27,-19.015625
1,harmless,list_format,26,-15.1796875
1,harmless,list_format,25,-12.0859375
1,harmless,translation_frame,27,-5.765625
1,harmless,translation_frame,26,-2.26171875
1,harmless,translation_frame,25,2.62890625
2,harmless,direct,27,-10.484375
2,harmless,direct,26,-6.92578125
2,harmless,direct,25,-2.35546875
2,harmless,json,27,-3.181640625
2,harmless,json,26,-0.59130859375
2,harmless,json,25,1.6728515625
2,harmless,xml,27,-8.0703125
2,harmless,xml,26,-4.30078125
2,harmless,xml,25,-0.383056640625
2,harmless,markdown,27,1.2998046875
2,harmless,markdown,26,3.896484375
2,harmless,markdown,25,9.5703125
2,harmless,roleplay,27,-7.46875
2,harmless,roleplay,26,-4.71875
2,harmless,roleplay,25,0.12347412109375
2,harmless,hypothetical,27,-4.3984375
2,harmless,hypothetical,26,-2.029296875
2,harmless,hypothetical,25,3.62109375
2,harmless,completion,27,-14.6640625
2,harmless,completion,26,-12.625
2,harmless,completion,25,-8.84375
2,harmless,nested,27,-11.0703125
2,harmless,nested,26,-7.52734375
2,harmless,nested,25,-1.6943359375
2,harmless,context_injection,27,-5.15234375
2,harmless,context_injection,26,-2.59375
2,harmless,context_injection,25,1.2998046875
2,harmless,whitespace,27,1.9326171875
2,harmless,whitespace,26,3.185546875
2,harmless,whitespace,25,5.93359375
2,harmless,list_format,27,-7.8984375
2,harmless,list_format,26,-5.3125
2,harmless,list_format,25,-1.2958984375
2,harmless,translation_frame,27,-4.421875
2,harmless,translation_frame,26,-1.75390625
2,harmless,translation_frame,25,3.193359375
3,harmless,direct,27,-10.078125
3,harmless,direct,26,-6.6875
3,harmless,direct,25,-1.14453125
3,harmless,json,27,-4.26953125
3,harmless,json,26,-2.24609375
3,harmless,json,25,1.0439453125
3,harmless,xml,27,-6.82421875
3,harmless,xml,26,-3.76953125
3,harmless,xml,25,1.0009765625
3,harmless,markdown,27,0.55224609375
3,harmless,markdown,26,2.69921875
3,harmless,markdown,25,8.765625
3,harmless,roleplay,27,-9.2265625
3,harmless,roleplay,26,-6.3046875
3,harmless,roleplay,25,-0.056396484375
3,harmless,hypothetical,27,-1.4365234375
3,harmless,hypothetical,26,-0.006500244140625
3,harmless,hypothetical,25,5.609375
3,harmless,completion,27,-20.0625
3,harmless,completion,26,-18.484375
3,harmless,completion,25,-12.203125
3,harmless,nested,27,-8.6875
3,harmless,nested,26,-5.4921875
3,harmless,nested,25,0.37890625
3,harmless,context_injection,27,-1.7138671875
3,harmless,context_injection,26,0.2454833984375
3,harmless,context_injection,25,5.04296875
3,harmless,whitespace,27,-2.283203125
3,harmless,whitespace,26,1.2763671875
3,harmless,whitespace,25,4.80859375
3,harmless,list_format,27,-6.34375
3,harmless,list_format,26,-3.01953125
3,harmless,list_format,25,1.955078125
3,harmless,translation_frame,27,-1.998046875
3,harmless,translation_frame,26,-0.2509765625
3,harmless,translation_frame,25,5.734375
4,harmless,direct,27,-31.359375
4,harmless,direct,26,-26.90625
4,harmless,direct,25,-20.953125
4,harmless,json,27,-4.31640625
4,harmless,json,26,-2.107421875
4,harmless,json,25,0.87548828125
4,harmless,xml,27,-10.8359375
4,harmless,xml,26,-7.23046875
4,harmless,xml,25,-3.189453125
4,harmless,markdown,27,-0.6142578125
4,harmless,markdown,26,1.6552734375
4,harmless,markdown,25,7.4609375
4,harmless,roleplay,27,-29.265625
4,harmless,roleplay,26,-25.078125
4,harmless,roleplay,25,-18.734375
4,harmless,hypothetical,27,-15.4453125
4,harmless,hypothetical,26,-12.7109375
4,harmless,hypothetical,25,-6.984375
4,harmless,completion,27,-24.828125
4,harmless,completion,26,-22.40625
4,harmless,completion,25,-18.578125
4,harmless,nested,27,-27.0625
4,harmless,nested,26,-23.203125
4,harmless,nested,25,-16.59375
4,harmless,context_injection,27,-27.109375
4,harmless,context_injection,26,-23.609375
4,harmless,context_injection,25,-17.6875
4,harmless,whitespace,27,-8.1484375
4,harmless,whitespace,26,-5.80859375
4,harmless,whitespace,25,-1.1669921875
4,harmless,list_format,27,-29.015625
4,harmless,list_format,26,-24.03125
4,harmless,list_format,25,-18.921875
4,harmless,translation_frame,27,-6.296875
4,harmless,translation_frame,26,-4.1484375
4,harmless,translation_frame,25,0.7998046875
5,harmless,direct,27,-23.765625
5,harmless,direct,26,-19.5
5,harmless,direct,25,-13.546875
5,harmless,json,27,-4.1484375
5,harmless,json,26,-1.826171875
5,harmless,json,25,0.67333984375
5,harmless,xml,27,-10.8984375
5,harmless,xml,26,-6.73046875
5,harmless,xml,25,-2.849609375
5,harmless,markdown,27,-2.15625
5,harmless,markdown,26,1.1103515625
5,harmless,markdown,25,7.9140625
5,harmless,roleplay,27,-22.265625
5,harmless,roleplay,26,-18.140625
5,harmless,roleplay,25,-12.078125
5,harmless,hypothetical,27,-21.46875
5,harmless,hypothetical,26,-17.46875
5,harmless,hypothetical,25,-11.25
5,harmless,completion,27,-8.6796875
5,harmless,completion,26,-8.25
5,harmless,completion,25,-3.76953125
5,harmless,nested,27,-20.890625
5,harmless,nested,26,-17.046875
5,harmless,nested,25,-11.296875
5,harmless,context_injection,27,-18.828125
5,harmless,context_injection,26,-15.7109375
5,harmless,context_injection,25,-10.515625
5,harmless,whitespace,27,-14.375
5,harmless,whitespace,26,-10.6171875
5,harmless,whitespace,25,-6.01171875
5,harmless,list_format,27,-20.015625
5,harmless,list_format,26,-16.03125
5,harmless,list_format,25,-10.40625
5,harmless,translation_frame,27,-2.703125
5,harmless,translation_frame,26,-0.71435546875
5,harmless,translation_frame,25,4.66796875
6,harmless,direct,27,-27.671875
6,harmless,direct,26,-21.40625
6,harmless,direct,25,-14.8984375
6,harmless,json,27,-2.998046875
6,harmless,json,26,-0.373779296875
6,harmless,json,25,2.875
6,harmless,xml,27,-6.1953125
6,harmless,xml,26,-2.361328125
6,harmless,xml,25,1.658203125
6,harmless,markdown,27,-0.7275390625
6,harmless,markdown,26,2.685546875
6,harmless,markdown,25,9.015625
6,harmless,roleplay,27,-20.40625
6,harmless,roleplay,26,-15.1484375
6,harmless,roleplay,25,-8.78125
6,harmless,hypothetical,27,-20.578125
6,harmless,hypothetical,26,-15.6640625
6,harmless,hypothetical,25,-8.46875
6,harmless,completion,27,-24.125
6,harmless,completion,26,-21.796875
6,harmless,completion,25,-15.265625
6,harmless,nested,27,-24.5625
6,harmless,nested,26,-19.328125
6,harmless,nested,25,-11.8125
6,harmless,context_injection,27,-14.8515625
6,harmless,context_injection,26,-10.9765625
6,harmless,context_injection,25,-6.015625
6,harmless,whitespace,27,-7.1953125
6,harmless,whitespace,26,-3.853515625
6,harmless,whitespace,25,-0.6962890625
6,harmless,list_format,27,-20.328125
6,harmless,list_format,26,-15.9453125
6,harmless,list_format,25,-10.8671875
6,harmless,translation_frame,27,-4.953125
6,harmless,translation_frame,26,-2.884765625
6,harmless,translation_frame,25,2.810546875
7,harmless,direct,27,-28.078125
7,harmless,direct,26,-27.40625
7,harmless,direct,25,-21.328125
7,harmless,json,27,-4.515625
7,harmless,json,26,-2.646484375
7,harmless,json,25,0.59033203125
7,harmless,xml,27,-8.8203125
7,harmless,xml,26,-5.8359375
7,harmless,xml,25,-2.037109375
7,harmless,markdown,27,-2.63671875
7,harmless,markdown,26,-0.37890625
7,harmless,markdown,25,5.91796875
7,harmless,roleplay,27,-19.578125
7,harmless,roleplay,26,-17.53125
7,harmless,roleplay,25,-11.734375
7,harmless,hypothetical,27,-22.28125
7,harmless,hypothetical,26,-21.265625
7,harmless,hypothetical,25,-14.5078125
7,harmless,completion,27,-21.515625
7,harmless,completion,26,-20.171875
7,harmless,completion,25,-16.234375
7,harmless,nested,27,-21.796875
7,harmless,nested,26,-20.59375
7,harmless,nested,25,-14.578125
7,harmless,context_injection,27,-15.9296875
7,harmless,context_injection,26,-15.1640625
7,harmless,context_injection,25,-10.7421875
7,harmless,whitespace,27,-11.578125
7,harmless,whitespace,26,-10.7109375
7,harmless,whitespace,25,-6.49609375
7,harmless,list_format,27,-19.0625
7,harmless,list_format,26,-18.203125
7,harmless,list_format,25,-12.9609375
7,harmless,translation_frame,27,-6.01953125
7,harmless,translation_frame,26,-3.498046875
7,harmless,translation_frame,25,1.48046875
8,harmless,direct,27,-6.44140625
8,harmless,direct,26,-4.18359375
8,harmless,direct,25,-0.0191802978515625
8,harmless,json,27,-2.40625
8,harmless,json,26,-0.31298828125
8,harmless,json,25,2.689453125
8,harmless,xml,27,-8.640625
8,harmless,xml,26,-5.66015625
8,harmless,xml,25,-0.70703125
8,harmless,markdown,27,0.0240936279296875
8,harmless,markdown,26,2.501953125
8,harmless,markdown,25,8.59375
8,harmless,roleplay,27,-5.6015625
8,harmless,roleplay,26,-2.6875
8,harmless,roleplay,25,2.09765625
8,harmless,hypothetical,27,-2.87890625
8,harmless,hypothetical,26,-0.884765625
8,harmless,hypothetical,25,4.27734375
8,harmless,completion,27,-9.3125
8,harmless,completion,26,-9.3828125
8,harmless,completion,25,-5.8359375
8,harmless,nested,27,-3.0703125
8,harmless,nested,26,-0.8896484375
8,harmless,nested,25,3.8125
8,harmless,context_injection,27,-0.52490234375
8,harmless,context_injection,26,0.434814453125
8,harmless,context_injection,25,4.2421875
8,harmless,whitespace,27,4.02734375
8,harmless,whitespace,26,5.98046875
8,harmless,whitespace,25,9.9140625
8,harmless,list_format,27,-3.11328125
8,harmless,list_format,26,-0.9755859375
8,harmless,list_format,25,2.537109375
8,harmless,translation_frame,27,-3.169921875
8,harmless,translation_frame,26,-0.84375
8,harmless,translation_frame,25,4.50390625
9,harmless,direct,27,-7.54296875
9,harmless,direct,26,-5.05859375
9,harmless,direct,25,-0.06268310546875
9,harmless,json,27,-3.830078125
9,harmless,json,26,-1.5322265625
9,harmless,json,25,0.611328125
9,harmless,xml,27,-7.17578125
9,harmless,xml,26,-4.234375
9,harmless,xml,25,-0.79833984375
9,harmless,markdown,27,-0.2744140625
9,harmless,markdown,26,2.59765625
9,harmless,markdown,25,8.9296875
9,harmless,roleplay,27,-5.44921875
9,harmless,roleplay,26,-3.779296875
9,harmless,roleplay,25,1.4091796875
9,harmless,hypothetical,27,-5.8984375
9,harmless,hypothetical,26,-4.0546875
9,harmless,hypothetical,25,1.46875
9,harmless,completion,27,-9.5078125
9,harmless,completion,26,-8.2578125
9,harmless,completion,25,-3.673828125
9,harmless,nested,27,-6.9140625
9,harmless,nested,26,-4.46484375
9,harmless,nested,25,0.9365234375
9,harmless,context_injection,27,-3.4140625
9,harmless,context_injection,26,-2.123046875
9,harmless,context_injection,25,2.009765625
9,harmless,whitespace,27,-1.5849609375
9,harmless,whitespace,26,0.367431640625
9,harmless,whitespace,25,4.5234375
9,harmless,list_format,27,-3.19921875
9,harmless,list_format,26,-1.4609375
9,harmless,list_format,25,2.802734375
9,harmless,translation_frame,27,-1.171875
9,harmless,translation_frame,26,0.69580078125
9,harmless,translation_frame,25,5.453125
10,harmless,direct,27,-22.34375
10,harmless,direct,26,-16.046875
10,harmless,direct,25,-6.03515625
10,harmless,json,27,-3.26171875
10,harmless,json,26,-1.169921875
10,harmless,json,25,2.328125
10,harmless,xml,27,-8.3671875
10,harmless,xml,26,-4.63671875
10,harmless,xml,25,-0.079345703125
10,harmless,markdown,27,-1.994140625
10,harmless,markdown,26,1.294921875
10,harmless,markdown,25,7.82421875
10,harmless,roleplay,27,-15.4453125
10,harmless,roleplay,26,-10.4296875
10,harmless,roleplay,25,-2.2109375
10,harmless,hypothetical,27,-11.109375
10,harmless,hypothetical,26,-7.5
10,harmless,hypothetical,25,1.478515625
10,harmless,completion,27,-24.71875
10,harmless,completion,26,-20.359375
10,harmless,completion,25,-15.6015625
10,harmless,nested,27,-20.78125
10,harmless,nested,26,-15.171875
10,harmless,nested,25,-4.8046875
10,harmless,context_injection,27,-13.5078125
10,harmless,context_injection,26,-9.3046875
10,harmless,context_injection,25,-1.2080078125
10,harmless,whitespace,27,-7.08984375
10,harmless,whitespace,26,-3.017578125
10,harmless,whitespace,25,4.4921875
10,harmless,list_format,27,-16.703125
10,harmless,list_format,26,-12.0546875
10,harmless,list_format,25,-4.1953125
10,harmless,translation_frame,27,-5.2578125
10,harmless,translation_frame,26,-2.580078125
10,harmless,translation_frame,25,2.671875
11,harmless,direct,27,1.2587890625
11,harmless,direct,26,1.2939453125
11,harmless,direct,25,2.33203125
11,harmless,json,27,-1.5068359375
11,harmless,json,26,0.67041015625
11,harmless,json,25,2.513671875
