category,prompt_type,transformation,projection
violence_weapons,harmful,json,12.2734375
violence_weapons,harmful,json,15.921875
violence_weapons,harmful,json,10.65625
violence_weapons,harmful,json,9.796875
violence_weapons,harmful,json,14.4765625
violence_weapons,harmful,json,14.46875
violence_weapons,harmful,json,12.4453125
violence_weapons,harmful,json,10.0859375
violence_weapons,harmful,json,16.234375
violence_weapons,harmful,json,10.3828125
violence_weapons,harmful,json,10.3359375
violence_weapons,harmful,json,12.53125
violence_weapons,harmful,json,10.2578125
violence_weapons,harmful,json,8.921875
violence_weapons,harmful,json,11.6796875
cybercrime,harmful,json,8.734375
cybercrime,harmful,json,12.546875
cybercrime,harmful,json,12.984375
cybercrime,harmful,json,14.1015625
cybercrime,harmful,json,10.859375
cybercrime,harmful,json,10.2109375
cybercrime,harmful,json,16.25
cybercrime,harmful,json,13.7421875
cybercrime,harmful,json,15.9921875
cybercrime,harmful,json,15.546875
cybercrime,harmful,json,14.625
cybercrime,harmful,json,9.6796875
cybercrime,harmful,json,10.703125
cybercrime,harmful,json,10.828125
cybercrime,harmful,json,15.53125
fraud_deception,harmful,json,14.6171875
fraud_deception,harmful,json,13.421875
fraud_deception,harmful,json,14.6171875
fraud_deception,harmful,json,18.140625
fraud_deception,harmful,json,17.125
fraud_deception,harmful,json,12.171875
fraud_deception,harmful,json,12.4375
fraud_deception,harmful,json,15.75
fraud_deception,harmful,json,12.40625
fraud_deception,harmful,json,16.96875
fraud_deception,harmful,json,18.671875
fraud_deception,harmful,json,16.84375
fraud_deception,harmful,json,11.3828125
fraud_deception,harmful,json,18.390625
fraud_deception,harmful,json,14.6796875
illegal_substances,harmful,json,12.6015625
illegal_substances,harmful,json,19.3125
illegal_substances,harmful,json,7.03515625
illegal_substances,harmful,json,12.515625
illegal_substances,harmful,json,12.265625
illegal_substances,harmful,json,12.921875
illegal_substances,harmful,json,10.390625
illegal_substances,harmful,json,14.6171875
illegal_substances,harmful,json,13.921875
illegal_substances,harmful,json,15.1171875
illegal_substances,harmful,json,10.1796875
illegal_substances,harmful,json,13.75
illegal_substances,harmful,json,9.5703125
illegal_substances,harmful,json,12.515625
illegal_substances,harmful,json,10.265625
harassment_abuse,harmful,json,16.109375
harassment_abuse,harmful,json,20.015625
harassment_abuse,harmful,json,8.03125
harassment_abuse,harmful,json,14.203125
harassment_abuse,harmful,json,15.9296875
harassment_abuse,harmful,json,15.8515625
harassment_abuse,harmful,json,15.0
harassment_abuse,harmful,json,20.78125
harassment_abuse,harmful,json,14.015625
harassment_abuse,harmful,json,19.453125
harassment_abuse,harmful,json,14.6484375
harassment_abuse,harmful,json,10.3125
harassment_abuse,harmful,json,9.640625
harassment_abuse,harmful,json,18.328125
harassment_abuse,harmful,json,19.71875
misc_illegal,harmful,json,10.34375
misc_illegal,harmful,json,15.3515625
misc_illegal,harmful,json,10.7890625
misc_illegal,harmful,json,22.21875
misc_illegal,harmful,json,13.28125
misc_illegal,harmful,json,19.453125
misc_illegal,harmful,json,9.1328125
misc_illegal,harmful,json,20.1875
misc_illegal,harmful,json,17.0625
misc_illegal,harmful,json,21.453125
misc_illegal,harmful,json,13.8203125
misc_illegal,harmful,json,10.2421875
misc_illegal,harmful,json,14.5625
misc_illegal,harmful,json,16.859375
misc_illegal,harmful,json,15.2734375
cooking_crafts,harmless,json,4.56640625
cooking_crafts,harmless,json,2.794921875
cooking_crafts,harmless,json,3.767578125
cooking_crafts,harmless,json,5.2578125
cooking_crafts,harmless,json,4.875
cooking_crafts,harmless,json,8.53125
cooking_crafts,harmless,json,5.37890625
cooking_crafts,harmless,json,5.73046875
cooking_crafts,harmless,json,4.609375
cooking_crafts,harmless,json,5.1484375
cooking_crafts,harmless,json,4.65234375
cooking_crafts,harmless,json,1.0595703125
