prompt_idx,transformation,layer,harmful_proj,harmless_proj,gap
0,direct,0,-0.021636962890625,-0.021636962890625,0.0
0,direct,1,-0.47705078125,-0.5224609375,0.04541015625
0,direct,2,-1.1201171875,-1.189453125,0.0693359375
0,direct,3,-0.8623046875,-0.94384765625,0.08154296875
0,direct,4,-1.0908203125,-1.759765625,0.6689453125
0,direct,5,-2.12890625,-3.796875,1.66796875
0,direct,6,-2.734375,-4.0,1.265625
0,direct,7,-2.212890625,-4.54296875,2.330078125
0,direct,8,-1.1328125,-4.90625,3.7734375
0,direct,9,-1.0947265625,-6.44921875,5.3544921875
0,direct,10,-0.2384033203125,-7.55859375,7.3201904296875
0,direct,11,3.16015625,-8.09375,11.25390625
0,direct,12,7.22265625,-5.640625,12.86328125
0,direct,13,8.2421875,-5.96484375,14.20703125
0,direct,14,9.8828125,-5.421875,15.3046875
0,direct,15,8.7109375,-6.3203125,15.03125
0,direct,16,9.796875,-5.7109375,15.5078125
0,direct,17,11.1484375,-5.359375,16.5078125
0,direct,18,9.515625,-6.984375,16.5
0,direct,19,13.5078125,-4.296875,17.8046875
0,direct,20,8.34375,-11.125,19.46875
0,direct,21,9.7421875,-8.265625,18.0078125
0,direct,22,13.390625,-8.0625,21.453125
0,direct,23,20.859375,-3.97265625,24.83203125
0,direct,24,22.1875,-6.60546875,28.79296875
0,direct,25,34.5625,-0.307861328125,34.870361328125
0,direct,26,33.40625,-3.5546875,36.9609375
0,direct,27,31.203125,-8.140625,39.34375
0,direct,28,83.875,41.75,42.125
0,json,0,-0.03485107421875,-0.03485107421875,0.0
0,json,1,-0.32373046875,-0.3330078125,0.00927734375
0,json,2,-0.55712890625,-0.57470703125,0.017578125
0,json,3,-1.2041015625,-1.2666015625,0.0625
0,json,4,-1.3701171875,-1.443359375,0.0732421875
0,json,5,-1.7236328125,-1.7822265625,0.05859375
0,json,6,-2.232421875,-2.28125,0.048828125
0,json,7,-2.4609375,-2.455078125,-0.005859375
0,json,8,-1.48046875,-1.552734375,0.072265625
0,json,9,-1.75390625,-1.8154296875,0.0615234375
0,json,10,-1.107421875,-1.2431640625,0.1357421875
0,json,11,-1.8427734375,-1.98828125,0.1455078125
0,json,12,-0.828125,-1.0791015625,0.2509765625
0,json,13,-1.8642578125,-2.07421875,0.2099609375
0,json,14,-1.498046875,-2.013671875,0.515625
0,json,15,-1.66015625,-2.19140625,0.53125
0,json,16,-0.373291015625,-1.083984375,0.710693359375
0,json,17,-0.09869384765625,-1.0087890625,0.91009521484375
0,json,18,-1.2021484375,-2.181640625,0.9794921875
0,json,19,0.359375,-0.81494140625,1.17431640625
0,json,20,-3.130859375,-4.3984375,1.267578125
0,json,21,-2.21875,-4.01171875,1.79296875
0,json,22,0.2666015625,-3.486328125,3.7529296875
0,json,23,3.822265625,-0.34619140625,4.16845703125
0,json,24,3.294921875,-1.5400390625,4.8349609375
0,json,25,8.4453125,3.025390625,5.419921875
0,json,26,6.37109375,-0.6328125,7.00390625
0,json,27,6.08203125,-3.158203125,9.240234375
0,json,28,53.03125,35.5,17.53125
0,xml,0,-0.0015106201171875,-0.0015106201171875,0.0
0,xml,1,-0.020294189453125,-0.03619384765625,0.015899658203125
0,xml,2,-0.45361328125,-0.439453125,-0.01416015625
0,xml,3,-1.23046875,-1.2236328125,-0.0068359375
0,xml,4,-1.8369140625,-1.8828125,0.0458984375
0,xml,5,-2.533203125,-2.54296875,0.009765625
0,xml,6,-3.181640625,-3.267578125,0.0859375
0,xml,7,-2.888671875,-3.013671875,0.125
0,xml,8,-1.7763671875,-2.048828125,0.2724609375
