transform,method,gap,accuracy
direct,rank1_diff,58.078643798828125,1.0
direct,logistic_reg,51.46562315482744,1.0
direct,linear_svm,49.02809523668574,1.0
direct,lr_classifier,0.0,1.0
json,rank1_diff,11.610960006713867,1.0
json,logistic_reg,11.288519002028192,1.0
json,linear_svm,11.325610303976926,1.0
json,lr_classifier,0.0,0.575
xml,rank1_diff,17.241220474243164,1.0
xml,logistic_reg,16.809859875640566,1.0
xml,linear_svm,17.17636882526694,1.0
xml,lr_classifier,0.0,0.725
markdown,rank1_diff,14.84898567199707,1.0
markdown,logistic_reg,13.710296639203781,1.0
markdown,linear_svm,13.680054392996007,1.0
markdown,lr_classifier,0.0,0.975
roleplay,rank1_diff,48.152587890625,1.0
roleplay,logistic_reg,42.390758643537424,1.0
roleplay,linear_svm,40.25229201333468,1.0
roleplay,lr_classifier,0.0,1.0
nested,rank1_diff,50.2805290222168,1.0
nested,logistic_reg,44.2356040917864,1.0
nested,linear_svm,42.069383877636824,1.0
nested,lr_classifier,0.0,1.0
