layer,head,format,direct_content_attn,direct_format_attn,formatted_content_attn,formatted_format_attn,content_shift,format_shift,routing_divergence
0,0,tool_call,1.0000335693359375,0.0,0.37894903818766273,0.6210390170415242,0.6210845311482747,0.6210390170415242,1.2421235481897988
0,1,tool_call,0.9999961535135905,0.0,0.0,1.0,0.9999961535135905,1.0,1.9999961535135906
0,2,tool_call,1.0000053564707438,0.0,0.504210885365804,0.4958019495010376,0.4957944711049398,0.4958019495010376,0.9915964206059774
0,3,tool_call,,,,,,,
0,4,tool_call,0.9999237060546875,0.0,0.40251363118489586,0.5974903106689453,0.5974100748697917,0.5974903106689453,1.194900385538737
0,5,tool_call,1.0000055034955342,0.0,0.0025333841641743977,0.9974453727404277,0.9974721193313598,0.9974453727404277,1.9949174920717874
0,6,tool_call,1.0000219186147055,0.0,0.0,1.0000009377797445,1.0000219186147055,1.0000009377797445,2.00002285639445
0,7,tool_call,0.9999853928883871,0.0,9.21010971069336e-05,0.9997941295305888,0.9998932917912802,0.9997941295305888,1.999687421321869
0,8,tool_call,1.0000275373458862,0.0,0.2636037190755208,0.7363928476969401,0.7364238182703654,0.7363928476969401,1.4728166659673056
0,9,tool_call,0.9999904632568359,0.0,0.2687847137451172,0.7311564127604167,0.7312057495117188,0.7311564127604167,1.4623621622721354
0,10,tool_call,1.0000075419743857,0.0,0.0,1.0,1.0000075419743857,1.0,2.0000075419743855
0,11,tool_call,0.999993896484375,0.0,0.26015880902608235,0.7398330688476562,0.7398350874582926,0.7398330688476562,1.4796681563059488
0,0,system,1.0000335693359375,0.0,0.47663866678873695,0.5233322779337565,0.5233949025472004,0.5233322779337565,1.046727180480957
0,1,system,0.9999961535135905,0.0,0.0,1.0,0.9999961535135905,1.0,1.9999961535135906
0,2,system,1.0000053564707438,0.0,0.7100172996520996,0.2899828275044759,0.28998805681864426,0.2899828275044759,0.5799708843231202
0,3,system,,,,,,,
0,4,system,0.9999237060546875,0.0,0.583270772298177,0.416729736328125,0.41665293375651047,0.416729736328125,0.8333826700846354
0,5,system,1.0000055034955342,0.0,0.001985907554626465,0.9980048457781474,0.9980195959409077,0.9980048457781474,1.9960244417190551
0,6,system,1.0000219186147055,0.0,5.698204040527343e-06,1.0,1.0000162204106648,1.0,2.000016220410665
0,7,system,0.9999853928883871,0.0,0.0014588435490926106,0.9985834360122681,0.9985265493392944,0.9985834360122681,1.9971099853515626
0,8,system,1.0000275373458862,0.0,0.5386349995930989,0.46131922403971354,0.4613925377527873,0.46131922403971354,0.9227117617925009
0,9,system,0.9999904632568359,0.0,0.2234982172648112,0.7765024820963542,0.7764922459920247,0.7765024820963542,1.552994728088379
0,10,system,1.0000075419743857,0.0,0.0,1.0,1.0000075419743857,1.0,2.0000075419743855
0,11,system,0.999993896484375,0.0,0.571094258626302,0.42888075510660806,0.42889963785807295,0.42888075510660806,0.857780392964681
0,0,json,1.0000335693359375,0.0,0.007253762086232503,0.9927473862965902,0.9927798072497049,0.9927473862965902,1.9855271935462953
0,1,json,0.9999961535135905,0.0,0.0,1.000000007947286,0.9999961535135905,1.000000007947286,1.9999961614608766
0,2,json,1.0000053564707438,0.0,0.03308322032292684,0.9669036587079366,0.966922136147817,0.9669036587079366,1.9338257948557536
0,3,json,,,0.0,1.0,,,
0,4,json,0.9999237060546875,0.0,0.27299677530924477,0.7270467122395833,0.7269269307454427,0.7270467122395833,1.453973642985026
0,5,json,1.0000055034955342,0.0,0.3414752165476481,0.658525307973226,0.6585302869478861,0.658525307973226,1.317055594921112
0,6,json,1.0000219186147055,0.0,2.980232238769531e-07,1.000000035762787,1.0000216205914816,1.000000035762787,2.0000216563542685
0,7,json,0.9999853928883871,0.0,0.24535458882649738,0.7546546936035157,0.7546308040618896,0.7546546936035157,1.5092854976654053
0,8,json,1.0000275373458862,0.0,0.4038770159085592,0.5961241523424784,0.596150521437327,0.5961241523424784,1.1922746737798056
0,9,json,0.9999904632568359,0.0,0.03553832372029622,0.9644534428914388,0.9644521395365397,0.9644534428914388,1.9289055824279786
0,10,json,1.0000075419743857,0.0,8.742014567057291e-08,1.000000007947286,1.0000074545542401,1.000000007947286,2.000007462501526
0,11,json,0.999993896484375,0.0,0.322906494140625,0.6770861307779948,0.67708740234375,0.6770861307779948,1.3541735331217448
1,0,tool_call,,,,,,,
1,1,tool_call,,,,,,,
1,2,tool_call,,,,,,,
1,3,tool_call,,,,,,,
1,4,tool_call,,,,,,,
1,5,tool_call,,,,,,,
1,6,tool_call,,,,,,,
1,7,tool_call,,,,,,,
1,8,tool_call,,,,,,,
1,9,tool_call,,,,,,,
1,10,tool_call,,,,,,,
1,11,tool_call,,,,,,,
1,0,system,,,,,,,
1,1,system,,,,,,,
1,2,system,,,,,,,
1,3,system,,,,,,,
1,4,system,,,,,,,
1,5,system,,,,,,,
1,6,system,,,,,,,
1,7,system,,,,,,,
1,8,system,,,,,,,
1,9,system,,,,,,,
1,10,system,,,,,,,
1,11,system,,,,,,,
1,0,json,,,,,,,
1,1,json,,,,,,,
1,2,json,,,,,,,
1,3,json,,,,,,,
1,4,json,,,,,,,
1,5,json,,,,,,,
1,6,json,,,,,,,
1,7,json,,,,,,,
1,8,json,,,,,,,
1,9,json,,,,,,,
1,10,json,,,,,,,
1,11,json,,,,,,,
2,0,tool_call,,,,,,,
2,1,tool_call,,,,,,,
2,2,tool_call,,,,,,,
2,3,tool_call,,,,,,,
2,4,tool_call,,,,,,,
2,5,tool_call,,,,,,,
2,6,tool_call,,,,,,,
2,7,tool_call,,,,,,,
2,8,tool_call,,,,,,,
2,9,tool_call,,,,,,,
2,10,tool_call,,,,,,,
2,11,tool_call,,,,,,,
2,0,system,,,,,,,
2,1,system,,,,,,,
2,2,system,,,,,,,
2,3,system,,,,,,,
2,4,system,,,,,,,
2,5,system,,,,,,,
2,6,system,,,,,,,
2,7,system,,,,,,,
2,8,system,,,,,,,
2,9,system,,,,,,,
2,10,system,,,,,,,
2,11,system,,,,,,,
2,0,json,,,,,,,
2,1,json,,,,,,,
2,2,json,,,,,,,
2,3,json,,,,,,,
2,4,json,,,,,,,
2,5,json,,,,,,,
2,6,json,,,,,,,
2,7,json,,,,,,,
2,8,json,,,,,,,
2,9,json,,,,,,,
2,10,json,,,,,,,
2,11,json,,,,,,,
3,0,tool_call,,,,,,,
3,1,tool_call,,,,,,,
3,2,tool_call,,,,,,,
3,3,tool_call,,,,,,,
3,4,tool_call,,,,,,,
3,5,tool_call,,,,,,,
3,6,tool_call,,,,,,,
3,7,tool_call,,,,,,,
3,8,tool_call,,,,,,,
3,9,tool_call,,,,,,,
3,10,tool_call,,,,,,,
3,11,tool_call,,,,,,,
3,0,system,,,,,,,
3,1,system,,,,,,,
3,2,system,,,,,,,
3,3,system,,,,,,,
3,4,system,,,,,,,
3,5,system,,,,,,,
3,6,system,,,,,,,
3,7,system,,,,,,,
3,8,system,,,,,,,
3,9,system,,,,,,,
3,10,system,,,,,,,
3,11,system,,,,,,,
3,0,json,,,,,,,
3,1,json,,,,,,,
3,2,json,,,,,,,
3,3,json,,,,,,,
3,4,json,,,,,,,
3,5,json,,,,,,,
3,6,json,,,,,,,
3,7,json,,,,,,,
3,8,json,,,,,,,
3,9,json,,,,,,,
3,10,json,,,,,,,
3,11,json,,,,,,,
4,0,tool_call,,,,,,,
4,1,tool_call,,,,,,,
4,2,tool_call,,,,,,,
4,3,tool_call,,,,,,,
4,4,tool_call,,,,,,,
4,5,tool_call,,,,,,,
4,6,tool_call,,,,,,,
4,7,tool_call,,,,,,,
4,8,tool_call,,,,,,,
4,9,tool_call,,,,,,,
4,10,tool_call,,,,,,,
4,11,tool_call,,,,,,,
4,0,system,,,,,,,
4,1,system,,,,,,,
4,2,system,,,,,,,
4,3,system,,,,,,,
4,4,system,,,,,,,
4,5,system,,,,,,,
4,6,system,,,,,,,
4,7,system,,,,,,,
4,8,system,,,,,,,
4,9,system,,,,,,,
4,10,system,,,,,,,
4,11,system,,,,,,,
4,0,json,,,,,,,
4,1,json,,,,,,,
4,2,json,,,,,,,
4,3,json,,,,,,,
4,4,json,,,,,,,
4,5,json,,,,,,,
4,6,json,,,,,,,
4,7,json,,,,,,,
4,8,json,,,,,,,
4,9,json,,,,,,,
