model,format,gap_retention_pct,ci_lower,ci_upper,gap_magnitude,n_prompts
Qwen2.5-1.5B,full_tool_call,2.2,1.9,2.5,1.318,50
Qwen2.5-1.5B,json_no_tags,3.3,2.7,3.8,1.97,50
Qwen2.5-1.5B,kv_pairs,15.2,13.7,16.8,9.235,50
Qwen2.5-1.5B,minimal_bracket,19.5,17.3,21.7,11.805,50
Qwen2.5-1.5B,prefix_only,47.6,42.2,54.5,28.853,50
Qwen2.5-1.5B,direct,54.5,47.7,61.0,32.977,50
TinyLlama-1.1B,full_tool_call,0.5,0.2,0.8,0.157,50
TinyLlama-1.1B,json_no_tags,2.4,1.8,3.1,0.731,50
TinyLlama-1.1B,kv_pairs,11.4,9.8,13.0,3.428,50
TinyLlama-1.1B,minimal_bracket,22.6,19.5,25.5,6.767,50
TinyLlama-1.1B,prefix_only,53.7,46.2,60.9,16.075,50
TinyLlama-1.1B,direct,52.9,45.4,60.9,15.852,50
SmolLM2-1.7B,full_tool_call,0.1,-0.0,0.3,0.302,50
SmolLM2-1.7B,json_no_tags,0.9,0.5,1.2,2.213,50
SmolLM2-1.7B,kv_pairs,6.4,5.4,7.3,16.046,50
SmolLM2-1.7B,minimal_bracket,13.6,11.8,15.4,34.354,50
SmolLM2-1.7B,prefix_only,42.5,36.5,47.9,107.298,50
SmolLM2-1.7B,direct,53.2,47.3,59.9,134.339,50
Qwen2.5-3B,full_tool_call,2.0,1.4,2.7,1.657,30
Qwen2.5-3B,json_no_tags,2.2,1.4,3.0,1.784,30
Qwen2.5-3B,kv_pairs,15.5,12.8,18.2,12.707,30
Qwen2.5-3B,minimal_bracket,17.1,14.9,19.8,14.03,30
Qwen2.5-3B,prefix_only,42.6,35.6,50.5,35.035,30
Qwen2.5-3B,direct,45.3,37.1,53.8,37.218,30
