model,layer,gap_retention_pct,ci_lower,ci_upper
Qwen2.5-1.5B,0,0.0,0.0,0.0
Qwen2.5-1.5B,1,0.5,0.2,0.9
Qwen2.5-1.5B,2,0.6,0.1,1.0
Qwen2.5-1.5B,3,0.4,0.1,0.8
Qwen2.5-1.5B,4,0.5,0.1,0.9
Qwen2.5-1.5B,5,0.4,0.1,0.7
Qwen2.5-1.5B,6,0.4,0.0,0.7
Qwen2.5-1.5B,7,0.5,0.1,0.8
Qwen2.5-1.5B,8,0.8,0.4,1.1
Qwen2.5-1.5B,9,0.8,0.5,1.1
Qwen2.5-1.5B,10,0.6,0.1,1.0
Qwen2.5-1.5B,11,0.8,0.4,1.3
Qwen2.5-1.5B,12,1.0,0.6,1.4
Qwen2.5-1.5B,13,1.0,0.4,1.5
Qwen2.5-1.5B,14,1.8,1.2,2.4
Qwen2.5-1.5B,15,1.6,1.0,2.2
Qwen2.5-1.5B,16,1.6,1.2,2.2
Qwen2.5-1.5B,17,2.2,1.6,3.0
Qwen2.5-1.5B,18,2.3,1.7,2.9
Qwen2.5-1.5B,19,2.3,1.7,2.9
Qwen2.5-1.5B,20,1.9,1.4,2.4
Qwen2.5-1.5B,21,1.3,0.9,1.7
Qwen2.5-1.5B,22,2.4,1.9,2.9
Qwen2.5-1.5B,23,2.2,1.7,2.9
Qwen2.5-1.5B,24,2.1,1.6,2.6
Qwen2.5-1.5B,25,2.2,1.7,2.8
Qwen2.5-1.5B,26,2.5,1.9,3.3
Qwen2.5-1.5B,27,3.1,2.4,3.8
Qwen2.5-1.5B,28,4.6,3.1,6.1
TinyLlama-1.1B,0,0.0,0.0,0.0
TinyLlama-1.1B,1,0.1,-0.1,0.3
TinyLlama-1.1B,2,0.2,-0.1,0.4
TinyLlama-1.1B,3,0.2,0.1,0.3
TinyLlama-1.1B,4,0.3,0.1,0.6
TinyLlama-1.1B,5,0.2,-0.1,0.6
TinyLlama-1.1B,6,0.1,-0.2,0.4
TinyLlama-1.1B,7,0.2,-0.0,0.5
TinyLlama-1.1B,8,0.7,0.4,1.0
TinyLlama-1.1B,9,0.7,0.1,1.3
TinyLlama-1.1B,10,0.7,0.2,1.1
TinyLlama-1.1B,11,0.9,0.5,1.3
TinyLlama-1.1B,12,0.6,0.3,0.9
TinyLlama-1.1B,13,0.8,0.5,1.2
TinyLlama-1.1B,14,0.7,0.1,1.1
TinyLlama-1.1B,15,0.4,0.1,0.7
TinyLlama-1.1B,16,0.3,-0.0,0.5
TinyLlama-1.1B,17,0.7,0.3,1.1
TinyLlama-1.1B,18,0.7,0.3,1.0
TinyLlama-1.1B,19,0.8,0.4,1.1
TinyLlama-1.1B,20,0.5,0.0,1.0
TinyLlama-1.1B,21,1.1,0.3,1.6
TinyLlama-1.1B,22,2.6,1.9,3.4
SmolLM2-1.7B,0,0.0,0.0,0.0
SmolLM2-1.7B,1,-0.1,-0.9,0.6
SmolLM2-1.7B,2,0.0,-0.3,0.4
SmolLM2-1.7B,3,0.1,-0.2,0.4
SmolLM2-1.7B,4,0.0,-0.3,0.3
SmolLM2-1.7B,5,-0.1,-0.3,0.2
SmolLM2-1.7B,6,0.2,-0.1,0.5
SmolLM2-1.7B,7,0.2,-0.1,0.5
SmolLM2-1.7B,8,0.3,-0.3,0.7
SmolLM2-1.7B,9,0.5,-0.1,0.9
SmolLM2-1.7B,10,0.6,0.1,1.2
SmolLM2-1.7B,11,0.4,-0.1,1.0
SmolLM2-1.7B,12,1.7,1.1,2.4
SmolLM2-1.7B,13,1.7,1.2,2.3
SmolLM2-1.7B,14,1.5,0.9,2.1
SmolLM2-1.7B,15,1.7,1.0,2.5
SmolLM2-1.7B,16,1.3,0.7,2.1
SmolLM2-1.7B,17,1.0,0.6,1.5
SmolLM2-1.7B,18,0.8,0.3,1.4
SmolLM2-1.7B,19,0.8,0.3,1.4
SmolLM2-1.7B,20,0.7,0.0,1.2
SmolLM2-1.7B,21,0.4,-0.2,0.9
SmolLM2-1.7B,22,0.6,0.0,1.2
SmolLM2-1.7B,23,0.0,0.0,0.0
SmolLM2-1.7B,24,0.5,-0.4,1.4
Qwen2.5-3B,0,0.0,0.0,0.0
Qwen2.5-3B,1,0.5,0.2,0.8
Qwen2.5-3B,2,0.5,0.2,0.8
Qwen2.5-3B,3,0.4,0.2,0.7
Qwen2.5-3B,4,0.5,0.2,0.7
Qwen2.5-3B,5,0.5,0.3,0.7
Qwen2.5-3B,6,0.4,0.3,0.6
Qwen2.5-3B,7,0.3,0.1,0.5
Qwen2.5-3B,8,0.5,0.2,0.9
Qwen2.5-3B,9,0.8,0.4,1.1
Qwen2.5-3B,10,0.4,0.1,0.8
Qwen2.5-3B,11,0.4,0.1,0.7
Qwen2.5-3B,12,0.6,0.3,0.9
Qwen2.5-3B,13,0.8,0.5,1.3
