train_format,test_format,accuracy,auc
direct,direct,100.0,1.0
direct,json,87.5,1.0
direct,xml,97.5,1.0
direct,yaml,67.5,1.0
direct,tool_call,100.0,1.0
direct,system,50.0,1.0
direct,markdown,92.5,1.0
direct,csv,52.5,0.97
json,direct,85.0,1.0
json,json,100.0,1.0
json,xml,97.5,1.0
json,yaml,90.0,1.0
json,tool_call,52.5,1.0
json,system,50.0,1.0
json,markdown,100.0,1.0
json,csv,52.5,1.0
xml,direct,82.5,1.0
xml,json,100.0,1.0
xml,xml,100.0,1.0
xml,yaml,97.5,1.0
xml,tool_call,50.0,1.0
xml,system,50.0,1.0
xml,markdown,100.0,1.0
xml,csv,100.0,1.0
yaml,direct,100.0,1.0
yaml,json,97.5,1.0
yaml,xml,100.0,1.0
yaml,yaml,100.0,1.0
yaml,tool_call,50.0,1.0
yaml,system,50.0,0.9675
yaml,markdown,100.0,1.0
yaml,csv,52.5,1.0
tool_call,direct,50.0,0.995
tool_call,json,50.0,1.0
tool_call,xml,65.0,1.0
tool_call,yaml,52.5,1.0
tool_call,tool_call,100.0,1.0
tool_call,system,65.0,0.9425
tool_call,markdown,50.0,1.0
tool_call,csv,50.0,0.98
system,direct,100.0,1.0
system,json,62.5,1.0
system,xml,60.0,1.0
system,yaml,97.5,1.0
system,tool_call,70.0,1.0
system,system,100.0,1.0
system,markdown,100.0,1.0
system,csv,55.00000000000001,1.0
markdown,direct,100.0,1.0
markdown,json,95.0,1.0
markdown,xml,97.5,1.0
markdown,yaml,100.0,1.0
markdown,tool_call,65.0,1.0
markdown,system,50.0,0.9874999999999999
markdown,markdown,100.0,1.0
markdown,csv,70.0,1.0
csv,direct,95.0,0.99
csv,json,55.00000000000001,0.9574999999999999
csv,xml,100.0,1.0
csv,yaml,95.0,1.0
csv,tool_call,50.0,0.995
csv,system,50.0,0.885
csv,markdown,92.5,1.0
csv,csv,100.0,1.0
