train_format,test_format,auc_mean,auc_ci_low,auc_ci_high,acc_mean,acc_ci_low,acc_ci_high,calibration_shift,n_seeds
direct,direct,1.0,1.0,1.0,0.99,0.97,1.0,0.010000000000000009,10
direct,json,1.0,1.0,1.0,0.76,0.64,0.8700000000000001,0.24,10
direct,tool_call,0.992,0.976,1.0,0.6799999999999999,0.5700000000000001,0.8,0.31200000000000006,10
direct,system,1.0,1.0,1.0,0.53,0.5,0.5900000000000001,0.47,10
direct,xml,1.0,1.0,1.0,0.9800000000000001,0.95,1.0,0.019999999999999907,10
direct,yaml,1.0,1.0,1.0,0.65,0.56,0.75,0.35,10
json,direct,1.0,1.0,1.0,0.77,0.71,0.8400000000000001,0.22999999999999998,10
json,json,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10
json,tool_call,1.0,1.0,1.0,0.5,0.5,0.5,0.5,10
json,system,1.0,1.0,1.0,0.5,0.5,0.5,0.5,10
json,xml,1.0,1.0,1.0,0.86,0.7699999999999999,0.9400000000000001,0.14,10
json,yaml,1.0,1.0,1.0,0.72,0.63,0.8099999999999999,0.28,10
tool_call,direct,0.992,0.976,1.0,0.7,0.61,0.79,0.29200000000000004,10
tool_call,json,1.0,1.0,1.0,0.7999999999999999,0.67,0.9102499999999988,0.20000000000000007,10
tool_call,tool_call,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10
tool_call,system,0.9680000000000002,0.9480000000000001,0.9880000000000001,0.6599999999999999,0.5599999999999999,0.7699999999999999,0.3080000000000003,10
tool_call,xml,1.0,1.0,1.0,0.95,0.9,1.0,0.050000000000000044,10
tool_call,yaml,1.0,1.0,1.0,0.5,0.5,0.5,0.5,10
system,direct,1.0,1.0,1.0,0.95,0.9200000000000002,0.9800000000000001,0.050000000000000044,10
system,json,1.0,1.0,1.0,0.8300000000000001,0.71975,0.93,0.16999999999999993,10
system,tool_call,1.0,1.0,1.0,0.51,0.5,0.53,0.49,10
system,system,0.9960000000000001,0.9879999999999999,1.0,0.96,0.9100000000000001,1.0,0.03600000000000014,10
system,xml,1.0,1.0,1.0,0.5799999999999998,0.53,0.6399999999999999,0.42000000000000015,10
system,yaml,0.976,0.952,0.9960000000000001,0.7100000000000001,0.63,0.7899999999999999,0.2659999999999999,10
xml,direct,1.0,1.0,1.0,0.8,0.71,0.89,0.19999999999999996,10
xml,json,1.0,1.0,1.0,0.9800000000000001,0.9400000000000001,1.0,0.019999999999999907,10
xml,tool_call,1.0,1.0,1.0,0.8099999999999999,0.7,0.9199999999999999,0.19000000000000006,10
xml,system,1.0,1.0,1.0,0.64,0.54,0.79,0.36,10
xml,xml,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10
xml,yaml,0.9960000000000001,0.9879999999999999,1.0,0.78,0.72,0.8400000000000001,0.21600000000000008,10
yaml,direct,1.0,1.0,1.0,0.97,0.9400000000000001,1.0,0.030000000000000027,10
yaml,json,1.0,1.0,1.0,0.9,0.78,1.0,0.09999999999999998,10
yaml,tool_call,1.0,1.0,1.0,0.51,0.5,0.53,0.49,10
yaml,system,0.976,0.96,0.992,0.5,0.5,0.5,0.476,10
yaml,xml,1.0,1.0,1.0,0.9800000000000001,0.95,1.0,0.019999999999999907,10
yaml,yaml,1.0,1.0,1.0,0.99,0.97,1.0,0.010000000000000009,10
