regime,test_format,category,gap,retention_pct
A_direct_only,direct,baseline,93.75,100.0
A_direct_only,common_json,seen_common,1.094,1.167
A_direct_only,common_tool,seen_common,0.25,0.2666
A_direct_only,common_system,seen_common,0.5625,0.6
A_direct_only,held_yaml,unseen_heldout,4.375,4.668
A_direct_only,held_xml,unseen_heldout,0.4375,0.4666
A_direct_only,held_custom,unseen_heldout,3.5,3.732
A_direct_only,unseen_csv,unseen_novel,12.22,13.04
A_direct_only,unseen_ini,unseen_novel,15.19,16.2
A_direct_only,unseen_pipe,unseen_novel,27.0,28.81
A_direct_only,unseen_bracket,unseen_novel,3.094,3.299
B_direct_common,direct,baseline,90.5,100.0
B_direct_common,common_json,seen_common,1.406,1.554
B_direct_common,common_tool,seen_common,0.9688,1.07
B_direct_common,common_system,seen_common,-0.0625,-0.06903
B_direct_common,held_yaml,unseen_heldout,3.094,3.418
B_direct_common,held_xml,unseen_heldout,2.344,2.59
B_direct_common,held_custom,unseen_heldout,4.75,5.25
B_direct_common,unseen_csv,unseen_novel,7.0,7.734
B_direct_common,unseen_ini,unseen_novel,13.69,15.125
B_direct_common,unseen_pipe,unseen_novel,14.14,15.625
B_direct_common,unseen_bracket,unseen_novel,5.188,5.73
C_direct_heldout,direct,baseline,87.9,100.0
C_direct_heldout,common_json,seen_common,0.6562,0.747
C_direct_heldout,common_tool,seen_common,0.1875,0.2134
C_direct_heldout,common_system,seen_common,-0.8125,-0.925
C_direct_heldout,held_yaml,seen_heldout,3.0,3.414
C_direct_heldout,held_xml,seen_heldout,0.5,0.5693
C_direct_heldout,held_custom,seen_heldout,1.844,2.098
C_direct_heldout,unseen_csv,unseen_novel,12.91,14.69
C_direct_heldout,unseen_ini,unseen_novel,8.33,9.48
C_direct_heldout,unseen_pipe,unseen_novel,16.9,19.23
C_direct_heldout,unseen_bracket,unseen_novel,2.594,2.951
