layer,format,auc,accuracy_direct_trained,optimal_threshold
0,direct,0.9712500000000001,95.0,0.07122802734375
0,json,0.5,50.0,inf
0,tool_call,0.5,50.0,inf
0,system,0.5,50.0,inf
2,direct,1.0,97.5,-1.1201171875
2,json,0.91,50.0,-0.56298828125
2,tool_call,0.80125,50.0,2.751953125
2,system,0.85,50.0,2.423828125
4,direct,0.995,95.0,-2.642578125
4,json,0.9275,50.0,-1.3974609375
4,tool_call,0.7275,50.0,0.86767578125
4,system,0.8575,50.0,-0.0156402587890625
6,direct,1.0,100.0,-3.294921875
6,json,0.8862500000000001,50.0,-2.21875
6,tool_call,0.49000000000000005,50.0,0.66650390625
6,system,0.7424999999999999,50.0,0.51171875
8,direct,1.0,100.0,-1.86328125
8,json,0.825,50.0,-1.6044921875
8,tool_call,0.5025,50.0,0.55419921875
8,system,0.8412499999999999,50.0,0.154541015625
10,direct,1.0,100.0,-3.02734375
10,json,0.73125,50.0,-0.97998046875
10,tool_call,0.46,50.0,0.058197021484375
10,system,0.8799999999999999,50.0,0.52197265625
12,direct,1.0,100.0,1.5859375
12,json,0.71,60.0,-0.78759765625
12,tool_call,0.65,50.0,1.5458984375
12,system,0.9275,50.0,1.48828125
14,direct,1.0,100.0,2.439453125
14,json,0.845,50.0,-1.6181640625
14,tool_call,0.7075,50.0,0.7646484375
14,system,0.98,50.0,0.7734375
16,direct,1.0,100.0,3.75390625
16,json,0.975,50.0,-0.7744140625
16,tool_call,0.6799999999999999,65.0,0.347412109375
16,system,0.9875,92.5,0.12451171875
18,direct,1.0,100.0,0.99267578125
18,json,0.9625,80.0,-1.83984375
18,tool_call,0.8724999999999999,50.0,0.004802703857421875
18,system,0.9675,50.0,-0.171142578125
20,direct,1.0,100.0,-7.60546875
20,json,0.9899999999999999,50.0,-3.96875
20,tool_call,0.8825000000000001,50.0,-0.340576171875
20,system,0.9275,50.0,-2.69921875
22,direct,1.0,100.0,-0.2269287109375
22,json,1.0,77.5,-1.0888671875
22,tool_call,1.0,50.0,1.0654296875
22,system,1.0,97.5,-3.169921875
24,direct,1.0,100.0,8.1796875
24,json,1.0,75.0,0.85791015625
24,tool_call,1.0,97.5,3.173828125
24,system,1.0,50.0,0.1424560546875
26,direct,1.0,100.0,15.90625
26,json,1.0,57.49999999999999,3.68359375
26,tool_call,1.0,50.0,4.8359375
26,system,0.9974999999999999,50.0,1.3037109375
28,direct,1.0,100.0,68.1875
28,json,0.995,50.0,35.96875
28,tool_call,0.8899999999999999,50.0,3.568359375
28,system,0.80375,50.0,-19.90625
