format,gap,retention_pct,auc,type
direct,58.06787109375,100.0,1.0,known
json,9.171442222595214,15.794349008917532,1.0,known
xml,16.919921875,29.13818184875928,1.0,known
yaml,10.179846191406249,17.53094439259016,1.0,known
tool_call,2.5680908203124995,4.42256754370475,1.0,known
system,1.4408203124999999,2.4812693928003835,0.995,known
markdown,19.4142578125,33.433734433204684,1.0,known
csv,4.17310791015625,7.186603937001252,0.98,known
novel_begin_end,9.5514404296875,16.44875255417371,1.0,OOD/novel
novel_brackets,6.035083007812499,10.393153553139426,1.0,OOD/novel
novel_random_delims,18.6822509765625,32.17312883126056,1.0,OOD/novel
novel_pipe,19.7266845703125,33.97177165056381,1.0,OOD/novel
novel_hash,8.161758422851562,14.05554959932057,1.0,OOD/novel
novel_arrow,5.82637939453125,10.033740319366311,1.0,OOD/novel
